Date,Issue,Code,Sector,Component Weight (TOPIX),New Index Series Code
20250331,"Marubeni Corporation",8002,"Wholesale Trade",0.5465%,TOPIX Large70
20250331,"Scroll Corporation",8005,"Retail Trade",0.0042%,TOPIX Small 1
20250331,"YONDOSHI HOLDINGS INC.",8008,"Retail Trade",0.0049%,TOPIX Small 1
20250331,"SANYO SHOKAI LTD.",8011,"Textiles & Apparels",0.0038%,TOPIX Small 2
20250331,"NAGASE & CO.,LTD.",8012,"Wholesale Trade",0.0331%,TOPIX Mid400
20250331,"CHORI CO.,LTD.",8014,"Wholesale Trade",0.0045%,TOPIX Small 2
20250331,"TOYOTA TSUSHO CORPORATION",8015,"Wholesale Trade",0.2093%,TOPIX Mid400
20250331,"ONWARD HOLDINGS CO.,LTD.",8016,"Textiles & Apparels",0.0093%,TOPIX Small 1
20250331,"SANKYO SEIKO CO.,LTD.",8018,"Wholesale Trade",0.0022%,TOPIX Small 2
20250331,"KANEMATSU CORPORATION",8020,"Wholesale Trade",0.0294%,TOPIX Mid400
20250331,"Mizuno Corporation",8022,"Other Products",0.0204%,TOPIX Small 1
20250331,"LOOK HOLDINGS INCORPORATED",8029,"Textiles & Apparels",0.0020%,TOPIX Small 2
20250331,"MITSUI & CO.,LTD.",8031,"Wholesale Trade",1.1496%,TOPIX Core30
20250331,"JAPAN PULP AND PAPER COMPANY LIMITED",8032,"Wholesale Trade",0.0081%,TOPIX Small 2
20250331,"Tokyo Electron Limited",8035,"Electric Appliances",1.1243%,TOPIX Core30
20250331,"KAMEI CORPORATION",8037,"Wholesale Trade",0.0059%,TOPIX Small 2
20250331,"Starzen Company Limited",8043,"Wholesale Trade",0.0054%,TOPIX Small 2
20250331,"SEIKO GROUP CORPORATION",8050,"Precision Instruments",0.0169%,TOPIX Small 1
20250331,"YAMAZEN CORPORATION",8051,"Wholesale Trade",0.0124%,TOPIX Small 1
20250331,"TSUBAKIMOTO KOGYO CO.,LTD.",8052,"Wholesale Trade",0.0032%,TOPIX Small 2
20250331,"SUMITOMO CORPORATION (SUMITOMO SHOJI KAISHA,LTD.)",8053,"Wholesale Trade",0.5648%,TOPIX Large70
20250331,"BIPROGY Inc.",8056,"Information & Communication",0.0410%,TOPIX Mid400
20250331,"UCHIDA YOKO CO.,LTD.",8057,"Wholesale Trade",0.0087%,TOPIX Small 1
20250331,"Mitsubishi Corporation",8058,"Wholesale Trade",1.3567%,TOPIX Core30
